,Name,Rank,Rating,Release_year,Episodes,Type,Studio,Tags,staff,Good_Anime
20,.hack//LIMINALITY,7626.0,6.72,2002-01-01 00:00:00.000000,4.0,OVA,BEE TRAIN,"Mystery, Sci Fi, Original Work","Kazunori Ito : Screenplay & Series Composition, Daisuke Uchiyama : Producer, Shouko Nakamura : Key Animator, Yutaka Nakamura : Key Animator",0
21,.hack//Legend Of The Twilight,7131.0,6.78,2003-01-01 00:00:00.000000,12.0,TV,BEE TRAIN,"Sci Fi, MMORPG, RPG, Siblings, Virtual Reality","Kouji Sawai : Director, Yoshimi Umino : Art Director, Kazunori Takagi : Producer, Shin Itagaki : Key Animator, Yuuji Yanase : Key Animator",0
22,.hack//Quantum,2408.0,7.48,2010-01-01 00:00:00.000000,3.0,OVA,Kinema Citrus,"Action, Mystery, Sci Fi, Dungeon, MMORPG","Masaki Tachibana : Director, Kow Otani : Music, Atsushi Hasebe : Character Design, Eiji Inomoto : Cg Director, Hisato Usui : Producer, Jun Yukawa : Producer, Shigeaki Komatsu : Producer, Shigehiro Kurita : Producer",0
24,.hack//Roots,4625.0,7.06,2006-01-01 00:00:00.000000,26.0,TV,BEE TRAIN,"MMORPG, RPG, Virtual Reality","Kouichi Mashimo : Director, Ali Project : Music & Song Performance, Yoshimi Umino : Art Director, Fukashi Azuma : Producer, Kouji Morimoto : Producer, Yoshinobu Tokumoto : Episode Director & Storyboard",0
25,.hack//SIGN,5022.0,7.02,2002-01-01 00:00:00.000000,26.0,TV,BEE TRAIN,"Adventure, Fantasy, Sci Fi, Hacking, MMORPG, Person in a Strange World, RPG, Trapped in a Video Game, Virtual Reality","Kazunori Ito : Screenplay & Series Composition, Yoshimi Umino : Art Director, Kazunori Takagi : Producer, Yuuji Yanase : Key Animator",0
26,.hack//SIGN - Intermezzo,6400.0,6.86,2003-01-01 00:00:00.000000,1.0,OVA,BEE TRAIN,"Dungeon, MMORPG, RPG, Virtual Reality",unknown,0
27,.hack//SIGN - Unison,5596.0,6.94,2003-01-01 00:00:00.000000,1.0,OVA,BEE TRAIN,"MMORPG, RPG, Virtual Reality","Kouichi Mashimo : Director, Yuki Kajiura : Music, Yoshiyuki Sadamoto : Character Design, Kazunori Takagi : Producer, Kouji Morimoto : Producer",0
29,001,15347.0,3.52,2013-01-01 00:00:00.000000,1.0,Web,unknown,"Black and White, Shorts",Masaki Okuda : Director,0
30,009 Re:Cyborg,10874.0,6.34,2012-01-01 00:00:00.000000,0.0,Movie,Production I.G,"Action, Sci Fi, Shounen, Cyborgs, Superheroes, Based on a Manga, CG Animation","Shotaro Ishinomori : Original Creator, Kenji Kamiyama : Director & Screenplay, Kenji Kawai : Music & Song Composition, Gatou Asou : Character Design, Takahiro Uezono : Photography Director, Yuusuke Takeda : Art Director, Yumiko Katayama : Color Design, Noriki Tsukamoto : Cg Director",0
31,009 Re:Cyborg x Zip,14264.0,5.56,2012-01-01 00:00:00.000000,10.0,Web,unknown,"Crossover, Promotional, Short Episodes, CG Animation",unknown,0
32,009 Re:Cyborg: Seishain Cyborg 003,12886.0,6.0,2012-01-01 00:00:00.000000,0.0,Other,unknown,"Sci Fi, Commercials, Cyborgs, Promotional, Short Episodes, Superpowers, Work Life, CG Animation",unknown,0
33,009-1,13400.0,5.88,2006-01-01 00:00:00.000000,12.0,TV,Ishimori Productions,"Action, Ecchi, Sci Fi, Seinen, Cyborgs, Espionage, Based on a Manga, Sexual Content","Shotaro Ishinomori : Original Creator, Naoyuki Konno : Director & Animation Director & Character Design & Chief Animation Director & Episode Director & Storyboard, Shinsuke Oonishi : Screenplay & Series Composition, Taku Iwasaki : Music & Song Arrangement & Song Composition, Yoshihiro Tomita : Photography Director, Yuusuke Takeda : Art Director, Sachiko Harada : Color Design, Yoshikazu Iwanami : Sound Director",0
34,009-1: R&B,12234.0,6.14,2007-01-01 00:00:00.000000,0.0,DVD S,Ishimori Productions,"Action, Ecchi, Sci Fi, Seinen, Cyborgs, Espionage, Based on a Manga","Shotaro Ishinomori : Original Creator, Naoyuki Konno : Director & Character Design & Chief Animation Director, Shinsuke Oonishi : Series Composition, Taku Iwasaki : Music & Song Arrangement & Song Composition, Fujio Suzuki : Character Design, Yoshihiro Tomita : Photography Director, Yuusuke Takeda : Art Director, Sachiko Harada : Color Design",0
35,00:08,15209.0,4.58,2014-01-01 00:00:00.000000,0.0,Movie,unknown,"Abstract, No Dialogue, Shorts","Yuutarou Kubo : Director, Miki Sakurai : Music, Koji Yamamura : Producer",0
36,07-Ghost,3099.0,7.32,2009-01-01 00:00:00.000000,25.0,TV,Studio DEEN,"Action, Drama, Fantasy, Josei, Amnesia, Magic, Military, Supernatural, Based on a Manga","Yuki Amemiya : Original Creator, Yukino Ichihara : Original Creator, Yoshihiro Takamoto : Director & Ed Director & Episode Director & Op Director & Storyboard, Natsuko Takahashi : Screenplay & Series Composition, Kotaro Nakagawa : Music & Song Arrangement, Maki Fujii : Animation Director & Character Design, Shinyo Kondou : Photography Director, Hirotsugu Kakoi : Art Director",0
37,1+2=Paradise,15121.0,4.8,1990-01-01 00:00:00.000000,2.0,OVA,J.C.Staff,"Comedy, Ecchi, Romance, Shounen, Childhood Friends, Childhood Promise, Cohabitation, Gynophobia, Panty Shots, Based on a Manga, Explicit Sex","Sumiko Kamimura : Original Creator, Junichi Watanabe : Director, Akiyoshi Serizawa : Character Design, Kazumasa Fujiie : Producer, Kazuo Katou : Producer, Satoru Ishida : Editor, Shuuichi Kakesu : Editor, Nobuaki Kishima : Screenplay",0
38,"1,2,3,4,",15303.0,4.12,2012-01-01 00:00:00.000000,1.0,Web,unknown,"Abstract, No Dialogue, Non-Human Protagonists, Shorts","Rabbit Machine : Director, Purikoko : Music",0
39,1-ri Botchi no Ookami to 7-hiki no Ko Yagi,6354.0,6.86,1994-01-01 00:00:00.000000,1.0,OVA,unknown,"Fantasy, Animal Protagonists, Anthropomorphic, Family Friendly, Non-Human Protagonists, Based on a Fairy Tale",unknown,0
40,1/100 Rice Planting,15061.0,4.9,2016-01-01 00:00:00.000000,1.0,Web,TERADAMOKEI,"Slice of Life, Agriculture, Countryside, Shorts, Stop Motion Animation","Tomohiro Okazaki : Director, Naoki Terada : Producer",0
41,1/100 Shibuya Crossing,14859.0,5.18,2015-01-01 00:00:00.000000,1.0,Web,TERADAMOKEI,"Slice of Life, Shorts, Stop Motion Animation","Tomohiro Okazaki : Director, Naoki Terada : Producer",0
42,1/100 Train Station,14956.0,5.08,2017-01-01 00:00:00.000000,1.0,Web,TERADAMOKEI,"Slice of Life, Shorts, Stop Motion Animation, Trains","Tomohiro Okazaki : Director, Naoki Terada : Producer",0
43,10 Nights' Dreams,15276.0,4.34,2004-01-01 00:00:00.000000,0.0,Movie,unknown,"Abstract, No Dialogue, Shorts, Nudity","Keiichi Tanaami : Director, Nobuhiro Aihara : Director",0
44,10 Tokyo Warriors,14500.0,5.44,1999-01-01 00:00:00.000000,6.0,OVA,Zexcs,"Action, Supernatural","Keizou Shimizu : Director, Noboru Ishiguro : Director, Hikaru Takanashi : Director, Sawako Yamamoto : Character Design, Kenichi Imaizumi : Character Design, Takao Asaga : Producer, Tooru Taga : Producer, Shigeru Nishiyama : Editor",0
45,100 Byou Cinema: Robo to Shoujo (Kari),14131.0,5.62,2010-01-01 00:00:00.000000,9.0,Web,Spring 2011,"Comedy, Sci Fi, Non-Human Protagonists, Robots, Short Episodes, Original Work",Tact Aoki : Director & Character Design & Music,0
46,100 Sleeping Princes & the Kingdom of Dreams,12307.0,6.12,2018-01-01 00:00:00.000000,12.0,TV,Project No.9,"Fantasy, Dream World, Person in a Strange World, Royalty, Summoned Into Another World, Based on a Mobile Game","Yukina Hiiro : Director, Masafumi Takada : Music, Majiro : Character Design, Akiko Fujita : Sound Director, Fumihiro Ozawa : Producer, Shouta Watase : Producer, Manabu Katou : Producer, Nobuyasu Nobe : Producer",0
47,100% Pascal-sensei,12895.0,6.0,2016-01-01 00:00:00.000000,6.0,Web,OLM,"Comedy, Family Friendly, School Life, Short Episodes, Based on a Manga","Yuuji Nagai : Original Creator, You Miura : Director, Shunsuke Takizawa : Music, Kazumi Satou : Character Design",0
48,100% Pascal-sensei (2017),14036.0,5.66,2017-01-01 00:00:00.000000,36.0,TV,OLM,"Comedy, Family Friendly, School Life, Short Episodes, Based on a Manga","Yuuji Nagai : Original Creator, You Miura : Director, Shunsuke Takizawa : Music, Kazumi Satou : Character Design",0
49,100-nichikan Ikita Wani,12210.0,6.14,2021-01-01 00:00:00.000000,0.0,Movie,TIA,"Animal Protagonists, Anthropomorphic, Non-Human Protagonists, Based on a 4-Koma Manga, Based on a Doujinshi, Based on a Manga","Yuuki Kikuchi : Original Creator, Miyuki Fukuda : Director, Shinichirou Ueda : Director & Screenplay, Seiji Kameda : Music, Tomonori Kogawa : Storyboard",0
51,1001 Nights,13677.0,5.78,1998-01-01 00:00:00.000000,0.0,Movie,Mushi Production,"Fantasy, Romance, Abstract, Dream World, Middle Eastern, No Dialogue, Royalty, Original Work, Nudity,, Sexual Content","Mike Smith : Director, David Newman : Music, Yoshitaka Amano : Character Design",0
52,11 Piki no Neko,10406.0,6.4,1980-01-01 00:00:00.000000,0.0,Movie,Group TAC,"Animal Protagonists, Cats, Non-Human Protagonists, Based on a Picture Book",Touki Udagawa : Producer,0
53,11 Piki no Neko to Ahoudori,10768.0,6.36,1986-01-01 00:00:00.000000,0.0,Movie,Group TAC,"Animal Protagonists, Cats, Non-Human Protagonists, Based on a Picture Book",unknown,0
54,112 Sabsections of Skyline,14387.0,5.5,2007-01-01 00:00:00.000000,1.0,Web,unknown,"Birds, Music, No Dialogue, Shorts",Takashi Ohashi : Director,0
55,11eyes,10795.0,6.36,2009-01-01 00:00:00.000000,12.0,TV,Doga Kobo,"Action, Ecchi, Fantasy, Seinen, Superpowers, Based on an Eroge, Based on a Visual Novel, Sexual Content","Masami Shimoda : Director, Shouichirou Sakamoto : Music, Masaharu Hara : Character Design, Yoshikazu Iwanami : Sound Director, Makoto Itou : Producer, Yuuichirou Takahata : Producer, Eiji Mannou : Producer, Mana Tsurugi : Producer",0
56,11eyes Picture Drama,14465.0,5.46,2010-01-01 00:00:00.000000,0.0,DVD S,Doga Kobo,"Comedy, Picture Drama, Nudity,, Violence",unknown,0
57,11eyes Special,12278.0,6.14,2010-01-01 00:00:00.000000,0.0,DVD S,Doga Kobo,"Comedy, Ecchi, Fantasy, Seinen, Superpowers, Based on an Eroge, Based on a Visual Novel, Nudity","Masami Shimoda : Director, Shouichirou Sakamoto : Music, Masaharu Hara : Character Design, Makoto Itou : Producer, Yuuichirou Takahata : Producer, Eiji Mannou : Producer, Mana Tsurugi : Producer, Uesama : Producer",0
58,12-Sai.,9683.0,6.5,2014-01-01 00:00:00.000000,8.0,OVA,Synergy SP,"Romance, Shoujo, School Life, Based on a Manga","Nao Maita : Original Creator, Seiki Taichuu : Director, Naohiko Furuichi : Producer",0
59,12-Sai. 2nd Season,4557.0,7.08,2015-01-01 00:00:00.000000,4.0,OVA,Synergy SP,"Romance, Shoujo, School Life, Based on a Manga",Nao Maita : Original Creator,0
60,12-Sai: Chiccha na Mune no Tokimeki,9569.0,6.5,2016-01-01 00:00:00.000000,12.0,TV,OLM,"Romance, Shoujo, School Life, Based on a Manga","Nao Maita : Original Creator, Masaharu Okuwaki : Director, Motoyoshi Iwasaki : Music, Naohiko Furuichi : Producer, Hiromasa Minami : Producer, Reiko Sasaki : Producer, Kentarou Anai : Producer, Kaori Itou : Producer",0
61,12-Sai: Chiccha na Mune no Tokimeki 2,6225.0,6.88,2016-01-01 00:00:00.000000,12.0,TV,OLM,"Romance, Shoujo, School Life, Based on a Manga","Nao Maita : Original Creator, Masaharu Okuwaki : Director, Hiromasa Minami : Producer, Reiko Sasaki : Producer, Kaori Itou : Producer, Rie Ukai : Producer",0
62,12-gatsu no Uta,14333.0,5.52,1971-01-01 00:00:00.000000,0.0,Movie,unknown,Shorts,unknown,0
64,15 Years Old: Starting Today We'll Be Living Together,9278.0,6.54,2018-01-01 00:00:00.000000,0.0,Other,Asura Film,"Romance, Shoujo, Short Episodes, Based on a Manga",Aco Momota : Original Creator,0
66,180-byou de Kimi no Mimi wo Shiawase ni Dekiru ka?,14852.0,5.2,2021-01-01 00:00:00.000000,12.0,TV,EKACHI EPILKA,"Short Episodes, Original Work","Yoshinobu Kasai : Director, Takayuki Noguchi : Character Design",0
67,18if,13480.0,5.86,2017-01-01 00:00:00.000000,13.0,TV,GONZO,"Drama, Fantasy, Dream World, Episodic, Based on a Mobile Game, Bullying,, Mature Themes,, Suicide,, Violence","Eito Ifue : Director, Akira Nishimori : Director, Kouji Morimoto : Director, Kouichi Chigira : Director, Hiroko Kazui : Director, Minoru Oohara : Director, Yukio Takahashi : Director, Toshirou Fujii : Director",0
69,2.43: Seiin High School Boys Volleyball Team,8014.0,6.68,2021-01-01 00:00:00.000000,12.0,TV,David Production,"Drama, Sports, Childhood Friends, noitaminA, School Club, School Life, Tournaments, Volleyball, Based on a Light Novel","Yukako Kabei : Original Creator, Aiji Yamakawa : Original Character Design, Yasuhiro Kimura : Director & Storyboard, Yousuke Kuroda : Screenplay & Series Composition, Yuugo Kanno : Music, Yuuichi Takahashi : Character Design & Chief Animation Director, Ryou Kujirai : Photography Director, Kentarou Akiyama : Art Director",0
70,2.43: Seiin High School Boys Volleyball Team - Fukui-ben Kouza,10871.0,6.34,2021-01-01 00:00:00.000000,8.0,Web,Winter 2021,"Chibi, Educational, Short Episodes, Based on a Light Novel",unknown,0
71,2.43: Seiin High School Boys Volleyball Team - Inside Story,11094.0,6.32,2021-01-01 00:00:00.000000,10.0,Web,Winter 2021,"Chibi, Short Episodes, Based on a Light Novel",unknown,0
72,2.43: Seiin High School Boys Volleyball Team - Volleyball Kouza-hen,10886.0,6.34,2020-01-01 00:00:00.000000,10.0,Web,Fall 2020,"Sports, Chibi, Educational, Short Episodes, Volleyball, Based on a Light Novel",unknown,0
73,2.43: Seiin High School Boys Volleyball Team Mini Anime,10042.0,6.44,2020-01-01 00:00:00.000000,8.0,Web,Fall 2020,"Sports, Chibi, Short Episodes, Volleyball, Based on a Light Novel",unknown,0
74,20-dai no Heya-hen,14599.0,5.38,2015-01-01 00:00:00.000000,1.0,Web,unknown,"Apartment Life, Commercials, Promotional",Inio Asano : Character Design,0
76,2005-nen Uchuu no Tabi,15090.0,4.86,2005-01-01 00:00:00.000000,0.0,Other,unknown,Shorts,Michio Mihara : Director,0
77,2020 Nyeon Ujuui Wonder Kiddy,10135.0,6.44,1989-01-01 00:00:00.000000,13.0,TV,unknown,"Sci Fi, Korean Animation, Outer Space",unknown,0
78,20min Walk From Nishi-Ogikubo Station,6638.0,6.82,2014-01-01 00:00:00.000000,1.0,Web,Khara,"Insects, Japan Animator's Exhibition, No Dialogue, Shorts, Nudity","Mahiro Maeda : Director, Takeshi Honda : Director & Character Design, Tomoyuki Ogata : Producer, Shinji Hashimoto : Key Animator, Shinya Oohira : Key Animator",0
79,21 Emon,12518.0,6.08,1991-01-01 00:00:00.000000,39.0,TV,Production I.G,"Sci Fi, Shounen, Family Friendly, Based on a Manga","Kouhei Tanaka : Music, Yoshihiko Takakura : Character Design",0
80,21 Emon Uchuu e Irasshai!,5463.0,6.96,1981-01-01 00:00:00.000000,0.0,Movie,Shin-Ei Animation,"Adventure, Comedy, Sci Fi","Tsutomu Shibayama : Director, Shunsuke Kikuchi : Music, Hiroshi Wakao : Color Design",0
81,21 Emon Uchuu ike! Hadashi no Princess,5545.0,6.96,1992-01-01 00:00:00.000000,0.0,Movie,Shin-Ei Animation,"Sci Fi, Shounen, Family Friendly, Based on a Manga","Hajime Okayasu : Director, Kouhei Tanaka : Music",0
82,21 Seiki Manga Hajimete Monogatari,8165.0,6.66,2001-01-01 00:00:00.000000,0.0,TV Sp,Tokyo Kids,"Sci Fi, Family Friendly",Hirochika Muraishi : Director,0
83,21 Seiki wa Minna ga Shuyaku,4416.0,7.1,2001-01-01 00:00:00.000000,1.0,OVA,unknown,Educational,unknown,0
84,2112: The Birth of Doraemon,6396.0,6.86,1995-01-01 00:00:00.000000,0.0,Movie,Shin-Ei Animation,"Shounen, Cats, Family Friendly, Non-Human Protagonists, Robots, Based on a Manga","Hiroshi Fujimoto : Original Creator, Ryouchi Maiya : Director, Yoshitomo Yonetani : Director, Shunsuke Kikuchi : Music",0
85,22/7,8134.0,6.66,2020-01-01 00:00:00.000000,12.0,TV,A-1 Pictures,"Drama, Mystery, Idols, Music, Showbiz","Akio Watanabe : Original Character Design, Takao Abo : Director, Shin Wakabayashi : Director, Masato Nakayama : Music, Majiro : Character Design, Akiko Fujita : Sound Director, Shunsuke Nara : Producer, Shingo Kaneko : Storyboard",0
86,22/7: 8+3=?,6229.0,6.88,2020-01-01 00:00:00.000000,0.0,DVD S,A-1 Pictures,"Slice of Life, Idols, Music, Showbiz",Akiko Fujita : Sound Director,0
87,22/7: Ano Hi no Kanojo-tachi,10284.0,6.42,2018-01-01 00:00:00.000000,8.0,Web,CloverWorks,"Slice of Life, Idols, Short Episodes","Akiko Fujita : Sound Director, Shin Wakabayashi : Episode Director & Storyboard, Yuuta Yamazaki : Episode Director & Storyboard",0
93,23-Ji no Saga Meshi Anime,13718.0,5.78,2021-01-01 00:00:00.000000,10.0,Web,Studio KAI,"Commercials, Food and Beverage, Promotional, Short Episodes",unknown,0
97,25-sai no Joshikousei,13607.0,5.82,2018-01-01 00:00:00.000000,12.0,TV,Lyrics,"Josei, Adult Couples, Mature Romance, School Life, Short Episodes, Smut, Based on a Manga, Explicit Sex,, Mature Themes","Makana : Original Creator, Hideta Oota : Director, Noboru Kanayama : Music, Sawako Yamamoto : Animation Director & Character Design & Chief Animation Director & Key Animator, Aoi Takeuchi : Sound Director, Akiko Segawa : Producer, Mei Suzuki : Producer, Riki : Producer",0
103,3-pun de Wakaru! Kore made no Love Live!,12349.0,6.12,2015-01-01 00:00:00.000000,1.0,Web,unknown,"Idols, Recap, Shorts",unknown,0
104,3-pun de Wakaru! Kore made no Love Live! Sunshine!!,13414.0,5.88,2018-01-01 00:00:00.000000,1.0,Web,unknown,"Idols, Recap, Shorts",unknown,0
105,30-sai no Hoken Taiiku,10917.0,6.34,2011-01-01 00:00:00.000000,12.0,TV,Gathering,"Comedy, Ecchi, Gods, Non-Human Protagonists, Salaryman, Supernatural, Based on a Light Novel, Sexual Content","Mankyuu : Director, Sao Tamado : Character Design, Yuuka Sakurai : Producer, Yoshihiro Furusawa : Producer, Poeyama : Key Animator",0
106,30-sai no Hoken Taiiku Specials,10432.0,6.4,2011-01-01 00:00:00.000000,0.0,DVD S,Gathering,"Comedy, Ecchi, Supernatural, Based on a Light Novel, Sexual Content",unknown,0
107,3000 Leagues in Search of Mother,9679.0,6.5,1976-01-01 00:00:00.000000,52.0,TV,Nippon Animation,"Adventure, 19th Century, Europe, Family Friendly, Historical, World Masterpiece Theater, Based on a Novel","Isao Takahata : Director, Koichi Sakata : Music, Yoichi Kotabe : Character Design, Junzou Nakajima : Producer, Takaji Matsudo : Producer",0
108,3000 Leagues in Search of Mother (2000),5490.0,6.96,2000-01-01 00:00:00.000000,0.0,TV Sp,unknown,Family Friendly,unknown,0
109,3000 Leagues in Search of Mother Movie,2876.0,7.36,1980-01-01 00:00:00.000000,0.0,Movie,Nippon Animation,"Adventure, 19th Century, Europe, Family Friendly, Historical, Based on a Novel",Shuuichi Kakesu : Editor,0
110,3000 Leagues in Search of Mother Specials,3977.0,7.16,2001-01-01 00:00:00.000000,0.0,TV Sp,Nippon Animation,"Adventure, 19th Century, Europe, Family Friendly, Historical, Recap, World Masterpiece Theater, Based on a Novel",unknown,0
111,30th Gundam Perfect Mission,9509.0,6.52,2009-01-01 00:00:00.000000,0.0,Other,Sunrise,"Action, Mecha, Sci Fi, Shorts","Daisuke Inoue : Music, Shigemi Ikeda : Art Director, Hiroyuki Satou : Producer",0
112,3D Magical Play,14057.0,5.66,2001-01-01 00:00:00.000000,1.0,OVA,AIC,"Comedy, Fantasy, Magical Girl, Dungeon, Henshin Heroes, Magic, CG Animation, Original Work, Violence","Hiroki Hayashi : Director, Seikou Nagaoka : Music, Kiyohiko Azuma : Character Design, Atsushi Moriyama : Producer, Tatsuo Shimamura : Producer, Masafumi Fukui : Producer",0
113,3D Onara Gorou ga Dance Dance Dance!!,15328.0,3.84,2016-01-01 00:00:00.000000,1.0,Web,ILCA,"Comedy, Crude, Non-Human Protagonists, Shorts, CG Animation, Original Work",Takashi Taniguchi : Original Creator,0
114,3x3 Eyes,7839.0,6.7,1991-01-01 00:00:00.000000,4.0,OVA,Toei Animation,"Action, Fantasy, Seinen, Demons, Magic, Based on a Manga, Explicit Violence","Yuuzou Takada : Original Creator, Daisuke Nishio : Director, Kazuhisa Takenouchi : Director, Kaoru Wada : Music, Kouichi Arai : Character Design, Junichi Taniguchi : Art Director, Katsunori Haruta : Producer, Minoru Takanashi : Producer",0
115,3x3 Eyes: Seima Densetsu,5592.0,6.94,1995-01-01 00:00:00.000000,3.0,OVA,Studio Junio,"Action, Fantasy, Seinen, Demons, Magic, Based on a Manga, Explicit Violence","Yuuzou Takada : Original Creator, Kazuhisa Takenouchi : Director, Kaoru Wada : Music, Tetsuya Kumagai : Character Design, Shigeru Watanabe : Producer, Kouji Shimana : Producer, Yoshimasa Mizuo : Producer, Shigeru Nishiyama : Editor",0
116,4 Shuunen Monst? Shiru ka yo!,13933.0,5.7,2017-01-01 00:00:00.000000,0.0,Other,unknown,"Action, Comedy, Slapstick",unknown,0
117,4.Eyes,14930.0,5.1,1975-01-01 00:00:00.000000,0.0,Movie,unknown,"Abstract, Shorts",Keiichi Tanaami : Director,0
118,40-Shuunen da yo! Coro Coro All-Star Shougakkou,11414.0,6.26,2017-01-01 00:00:00.000000,2.0,Web,Shin-Ei Animation,"Comedy, Crossover, Gag, Proxy Battles, School Life, Short Episodes",unknown,0
142,47 Todoufuken,12161.0,6.16,2011-01-01 00:00:00.000000,0.0,Other,Pollyanna Graphics,"Animal Protagonists, Family Friendly, Non-Human Protagonists, Short Episodes, Flash Animation",unknown,0
143,47 Todoufuken R,9719.0,6.48,2014-01-01 00:00:00.000000,12.0,TV,DandeLion Animation Studio,"Animal Protagonists, Family Friendly, Non-Human Protagonists, CG Animation",Shunsuke Nara : Producer,0
144,47 Todoufuken Specials,10330.0,6.42,2012-01-01 00:00:00.000000,0.0,TV Sp,Pollyanna Graphics,"Animal Protagonists, Family Friendly, Non-Human Protagonists, Short Episodes",unknown,0
145,48x61,14901.0,5.14,2002-01-01 00:00:00.000000,1.0,Web,MADHOUSE,"Comedy, Cycling, Racing, Shorts","Rintarou : Director, Toshiyuki Honda : Music, Katsuya Terada : Character Design",0
